Sample in Buffer,Sample in Window,TRIGGER,cpu/if_pc/ex_alu/data1[31:0],cpu/register_file/_register_reg[31]_31[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
490,490,0,00000000,bfc00aa8
491,491,0,d1b00f79,bfc00aa8
492,492,0,ffffff01,bfc00aa8
493,493,0,ffff4051,bfc00aa8
494,494,0,bfae0010,bfc00aa8
495,495,0,bfaffff0,bfc00aa8
496,496,0,00000000,bfc00aa8
497,497,0,00000000,bfc00aa8
498,498,0,d1b00f7a,bfc00aa8
499,499,0,ffffff01,bfc00aa8
500,500,0,ffff4051,bfc00aa8
501,501,0,bfae0010,bfc00aa8
502,502,0,bfaffff0,bfc00aa8
503,503,0,00000000,bfc00aa8
504,504,0,00000000,bfc00aa8
505,505,0,d1b00f7b,bfc00aa8
506,506,0,ffffff01,bfc00aa8
507,507,0,ffff4051,bfc00aa8
508,508,0,bfae0010,bfc00aa8
509,509,0,bfaffff0,bfc00aa8
510,510,0,00000000,bfc00aa8
511,511,0,00000000,bfc00aa8
512,512,1,d1b00f7c,bfc00aa8
513,513,0,ffffff01,bfc00aa8
514,514,0,ffff4051,bfc00aa8
515,515,0,bfae0010,bfc00aa8
516,516,0,bfaffff0,bfc00aa8
517,517,0,00000000,bfc00aa8
518,518,0,00000000,bfc00aa8
519,519,0,d1b00f7d,bfc00aa8
520,520,0,ffffff01,bfc00aa8
521,521,0,ffff4051,bfc00aa8
522,522,0,bfae0010,bfc00aa8
523,523,0,bfaffff0,bfc00aa8
524,524,0,00000000,bfc00aa8
525,525,0,00000000,bfc00aa8
526,526,0,d1b00f7e,bfc00aa8
527,527,0,ffffff01,bfc00aa8
528,528,0,ffff4051,bfc00aa8
529,529,0,bfae0010,bfc00aa8
530,530,0,bfaffff0,bfc00aa8
531,531,0,00000000,bfc00aa8
532,532,0,00000000,bfc00aa8
533,533,0,d1b00f7f,bfc00aa8
534,534,0,ffffff01,bfc00aa8
535,535,0,ffff4051,bfc00aa8
536,536,0,bfae0010,bfc00aa8
537,537,0,bfaffff0,bfc00aa8
538,538,0,00000000,bfc00aa8
539,539,0,00000000,bfc00aa8
540,540,0,d1b00f80,bfc00aa8
541,541,0,ffffff01,bfc00aa8
542,542,0,ffff4051,bfc00aa8
543,543,0,bfae0010,bfc00aa8
544,544,0,bfaffff0,bfc00aa8
545,545,0,00000000,bfc00aa8
546,546,0,00000000,bfc00aa8
547,547,0,d1b00f81,bfc00aa8
548,548,0,ffffff01,bfc00aa8
549,549,0,ffff4051,bfc00aa8
550,550,0,bfae0010,bfc00aa8
551,551,0,bfaffff0,bfc00aa8
552,552,0,00000000,bfc00aa8
553,553,0,00000000,bfc00aa8
554,554,0,d1b00f82,bfc00aa8
555,555,0,ffffff01,bfc00aa8
556,556,0,ffff4051,bfc00aa8
557,557,0,bfae0010,bfc00aa8
558,558,0,bfaffff0,bfc00aa8
559,559,0,00000000,bfc00aa8
560,560,0,00000000,bfc00aa8
561,561,0,d1b00f83,bfc00aa8
562,562,0,ffffff01,bfc00aa8
563,563,0,ffff4051,bfc00aa8
564,564,0,bfae0010,bfc00aa8
565,565,0,bfaffff0,bfc00aa8
566,566,0,00000000,bfc00aa8
567,567,0,00000000,bfc00aa8
568,568,0,d1b00f84,bfc00aa8
569,569,0,ffffff01,bfc00aa8
570,570,0,ffff4051,bfc00aa8
571,571,0,bfae0010,bfc00aa8
572,572,0,bfaffff0,bfc00aa8
573,573,0,00000000,bfc00aa8
574,574,0,00000000,bfc00aa8
575,575,0,d1b00f85,bfc00aa8
576,576,0,ffffff01,bfc00aa8
577,577,0,ffff4051,bfc00aa8
578,578,0,bfae0010,bfc00aa8
579,579,0,bfaffff0,bfc00aa8
580,580,0,00000000,bfc00aa8
581,581,0,00000000,bfc00aa8
582,582,0,d1b00f86,bfc00aa8
583,583,0,ffffff01,bfc00aa8
584,584,0,ffff4051,bfc00aa8
585,585,0,bfae0010,bfc00aa8
586,586,0,bfaffff0,bfc00aa8
587,587,0,00000000,bfc00aa8
588,588,0,00000000,bfc00aa8
589,589,0,d1b00f87,bfc00aa8
